seed,domain,exact_local_utility,hungarian_utility,percent_of_exact_local,selected_ues,allowed_ues,demand_copies,physical_slots,fully_selected_before_repair,partially_selected_before_repair,repair_drops,refills,swap_used
16,2,78.9866627927928,76.8250526505787,97.26332260943256,6,12,39,20,6,1,0,0,False
16,3,77.7958634149527,75.28201895582232,96.76866564778403,5,12,47,20,4,1,0,1,False
16,4,73.77070254756114,73.77070254756114,100.0,5,10,40,20,5,1,1,1,True
16,5,63.993765480754114,61.21365124310397,95.65564830141734,5,10,39,20,5,0,1,1,True
16,6,69.97228734603796,67.95156264787408,97.11210712868272,5,12,51,20,4,1,0,1,False
16,7,76.75435437987885,76.6444333163722,99.85678849832725,5,12,53,20,3,1,0,2,False
16,8,69.80570661561751,64.69912539164768,92.68457913893914,6,12,40,20,6,1,0,0,False
16,9,79.67360203443202,79.67360203443202,100.0,6,10,39,20,5,1,0,1,False
17,0,62.21804913202952,58.48093985356701,93.9935286776154,7,10,34,20,6,0,1,2,False
17,1,75.91222063885746,75.54081165353085,99.51073887418794,5,12,51,20,5,1,0,0,True
17,2,58.09682328231645,58.09682328231645,100.00000000000001,3,12,61,20,4,1,1,0,True
17,3,65.48645208244925,65.48645208244925,100.0,5,12,47,20,4,1,0,1,True
17,4,66.50924330836573,66.50924330836573,100.0,6,10,31,20,6,0,0,0,False
17,5,63.41404460964837,63.41404460964837,100.0,5,10,43,20,4,1,0,1,False
17,6,84.18096809573613,84.18096809573613,100.0,4,12,49,20,4,1,0,0,True
17,7,80.8718612514907,80.8718612514907,100.0,5,12,56,20,4,1,0,1,False
17,8,65.52964682620794,64.45616258906131,98.36183423970888,6,12,51,20,5,1,0,1,False
17,9,76.66469957589877,76.66469957589877,100.0,5,10,38,20,5,0,0,0,False
18,0,56.42608255276424,52.435591217994514,92.92793127887586,5,10,38,20,5,0,1,1,True
18,1,82.5082527241222,82.5082527241222,99.99999999999999,6,12,40,20,5,1,1,2,True
18,2,71.29393994135609,69.42792296955928,97.38264293805094,5,12,44,20,5,1,0,0,False
18,3,67.09398927825903,67.09398927825903,100.0,5,12,51,20,4,1,1,2,False
