seed,method,L_position,centralized_utility,utility,normalized_utility,selected_ues,used_local_reexecutions,total_triggered_local_reexecutions
0,Quantum-classical hybrid,1.0,652.4961800495726,471.84482236122744,72.3138060862486,36,0,0
0,Quantum-classical hybrid,1.5,652.4961800495726,623.9757968451743,95.62903445622754,50,0,0
0,O-RAN fixed-priority ConMit,1.0,652.4961800495726,467.1477626776531,71.59394598174691,36,0,6
0,O-RAN fixed-priority ConMit,1.5,652.4961800495726,570.2817820738588,87.40001849980676,45,0,6
0,O-RAN negotiation-based ConMit,1.0,652.4961800495726,467.1477626776531,71.59394598174691,36,0,6
0,O-RAN negotiation-based ConMit,2.0,652.4961800495726,584.2107756428015,89.53474265526226,46,1,6
0,O-RAN negotiation-based ConMit,3.0,652.4961800495726,604.4419301456975,92.63532088414307,48,2,6
0,O-RAN negotiation-based ConMit,4.0,652.4961800495726,604.4419301456975,92.63532088414307,48,3,6
0,O-RAN negotiation-based ConMit,5.0,652.4961800495726,616.1435481434161,94.4286828003507,49,4,6
0,O-RAN negotiation-based ConMit,6.0,652.4961800495726,628.0587036851355,96.25477096853189,51,5,6
0,O-RAN negotiation-based ConMit,7.0,652.4961800495726,636.326387123582,97.52185630806879,52,6,6
0,O-RAN negotiation-based ConMit,8.0,652.4961800495726,636.326387123582,97.52185630806879,52,6,6
0,O-RAN negotiation-based ConMit,9.0,652.4961800495726,636.326387123582,97.52185630806879,52,6,6
1,Quantum-classical hybrid,1.0,716.6843729627897,502.40910084782956,70.10186349827313,35,0,0
1,Quantum-classical hybrid,1.5,716.6843729627897,716.4655347397406,99.96946518840026,51,0,0
1,O-RAN fixed-priority ConMit,1.0,716.6843729627897,473.43825026965794,66.05951910357042,32,0,7
1,O-RAN fixed-priority ConMit,1.5,716.6843729627897,604.1933157030869,84.30396119917306,41,0,7
1,O-RAN negotiation-based ConMit,1.0,716.6843729627897,473.43825026965794,66.05951910357042,32,0,7
1,O-RAN negotiation-based ConMit,2.0,716.6843729627897,629.4730960842146,87.8312852674544,43,1,7
1,O-RAN negotiation-based ConMit,3.0,716.6843729627897,644.9211783610323,89.98677837705786,44,2,7
1,O-RAN negotiation-based ConMit,4.0,716.6843729627897,653.4566958411934,91.17775139142331,44,3,7
1,O-RAN negotiation-based ConMit,5.0,716.6843729627897,668.1237727834142,93.22426970485978,45,4,7
1,O-RAN negotiation-based ConMit,6.0,716.6843729627897,668.1237727834142,93.22426970485978,45,5,7
1,O-RAN negotiation-based ConMit,7.0,716.6843729627897,686.8197125434989,95.83294103430363,47,6,7
1,O-RAN negotiation-based ConMit,8.0,716.6843729627897,694.0742514786461,96.84517727229453,48,7,7
1,O-RAN negotiation-based ConMit,9.0,716.6843729627897,694.0742514786461,96.84517727229453,48,7,7
2,Quantum-classical hybrid,1.0,657.3899439137127,551.9720554916914,83.96417690930511,41,0,0
2,Quantum-classical hybrid,1.5,657.3899439137127,657.3899439137127,100.00000000000001,51,0,0
2,O-RAN fixed-priority ConMit,1.0,657.3899439137127,549.296248273906,83.55714190024257,40,0,5
2,O-RAN fixed-priority ConMit,1.5,657.3899439137127,609.7350787973469,92.75089837355029,45,0,5
2,O-RAN negotiation-based ConMit,1.0,657.3899439137127,549.296248273906,83.55714190024257,40,0,5
2,O-RAN negotiation-based ConMit,2.0,657.3899439137127,614.8902447870149,93.5350852990419,46,1,5
2,O-RAN negotiation-based ConMit,3.0,657.3899439137127,619.4556212851339,94.2295553834091,47,2,5
2,O-RAN negotiation-based ConMit,4.0,657.3899439137127,624.5358157258777,95.00233788301645,48,3,5
2,O-RAN negotiation-based ConMit,5.0,657.3899439137127,646.0082303750702,98.26865110365357,50,4,5
2,O-RAN negotiation-based ConMit,6.0,657.3899439137127,654.2013548572245,99.5149623011412,51,5,5
2,O-RAN negotiation-based ConMit,7.0,657.3899439137127,654.2013548572245,99.5149623011412,51,5,5
2,O-RAN negotiation-based ConMit,8.0,657.3899439137127,654.2013548572245,99.5149623011412,51,5,5
2,O-RAN negotiation-based ConMit,9.0,657.3899439137127,654.2013548572245,99.5149623011412,51,5,5
3,Quantum-classical hybrid,1.0,695.9050340974256,502.33051130481584,72.1837731719139,40,0,0
3,Quantum-classical hybrid,1.5,695.9050340974256,693.1129856264595,99.59878886713508,53,0,0
3,O-RAN fixed-priority ConMit,1.0,695.9050340974256,471.9672227841929,67.82063638845847,36,0,6
3,O-RAN fixed-priority ConMit,1.5,695.9050340974256,584.4942794345682,83.99052324612727,44,0,6
3,O-RAN negotiation-based ConMit,1.0,695.9050340974256,471.9672227841929,67.82063638845847,36,0,6
3,O-RAN negotiation-based ConMit,2.0,695.9050340974256,601.3056565378158,86.4062806094939,45,1,6
3,O-RAN negotiation-based ConMit,3.0,695.9050340974256,607.1488493213992,87.24593436931501,45,2,6
3,O-RAN negotiation-based ConMit,4.0,695.9050340974256,634.9025782374684,91.23408326265722,48,3,6
3,O-RAN negotiation-based ConMit,5.0,695.9050340974256,634.9025782374684,91.23408326265722,48,4,6
3,O-RAN negotiation-based ConMit,6.0,695.9050340974256,634.9025782374684,91.23408326265722,48,5,6
3,O-RAN negotiation-based ConMit,7.0,695.9050340974256,660.1594909665907,94.86344524333033,50,6,6
3,O-RAN negotiation-based ConMit,8.0,695.9050340974256,660.1594909665907,94.86344524333033,50,6,6
3,O-RAN negotiation-based ConMit,9.0,695.9050340974256,660.1594909665907,94.86344524333033,50,6,6
4,Quantum-classical hybrid,1.0,734.7220913394568,559.2950536568143,76.12334789568868,40,0,0
4,Quantum-classical hybrid,1.5,734.7220913394568,733.4602858024471,99.82826084149595,55,0,0
4,O-RAN fixed-priority ConMit,1.0,734.7220913394568,558.0326943753453,75.9515333693053,40,0,5
4,O-RAN fixed-priority ConMit,1.5,734.7220913394568,654.3113218998969,89.05562111342472,47,0,5
4,O-RAN negotiation-based ConMit,1.0,734.7220913394568,558.0326943753453,75.9515333693053,40,0,5
4,O-RAN negotiation-based ConMit,2.0,734.7220913394568,663.01260259999,90.23991661816855,47,1,5
4,O-RAN negotiation-based ConMit,3.0,734.7220913394568,677.631645350134,92.2296543601619,48,2,5
4,O-RAN negotiation-based ConMit,4.0,734.7220913394568,698.4069017846964,95.05728900997724,50,3,5
4,O-RAN negotiation-based ConMit,5.0,734.7220913394568,708.7372632683941,96.46331199546617,51,4,5
4,O-RAN negotiation-based ConMit,6.0,734.7220913394568,723.1610231254302,98.42647058659284,52,5,5
4,O-RAN negotiation-based ConMit,7.0,734.7220913394568,723.1610231254302,98.42647058659284,52,5,5
4,O-RAN negotiation-based ConMit,8.0,734.7220913394568,723.1610231254302,98.42647058659284,52,5,5
4,O-RAN negotiation-based ConMit,9.0,734.7220913394568,723.1610231254302,98.42647058659284,52,5,5
5,Quantum-classical hybrid,1.0,692.1425067292166,407.3714279061261,58.856582848985454,29,0,0
5,Quantum-classical hybrid,1.5,692.1425067292166,674.7036744395243,97.48045639154556,45,0,0
5,O-RAN fixed-priority ConMit,1.0,692.1425067292166,406.5056110358106,58.731490564969114,29,0,6
5,O-RAN fixed-priority ConMit,1.5,692.1425067292166,564.6346287626814,81.57779984224845,37,0,6
5,O-RAN negotiation-based ConMit,1.0,692.1425067292166,406.5056110358106,58.731490564969114,29,0,6
5,O-RAN negotiation-based ConMit,2.0,692.1425067292166,581.1692813104319,83.96670854052888,38,1,6
5,O-RAN negotiation-based ConMit,3.0,692.1425067292166,581.1692813104319,83.96670854052888,38,2,6
5,O-RAN negotiation-based ConMit,4.0,692.1425067292166,594.6473075060658,85.9139991728187,39,3,6
5,O-RAN negotiation-based ConMit,5.0,692.1425067292166,627.8374495382687,90.70927495916595,41,4,6
5,O-RAN negotiation-based ConMit,6.0,692.1425067292166,633.7401568443701,91.56209171997942,42,5,6
5,O-RAN negotiation-based ConMit,7.0,692.1425067292166,659.9308252444371,95.34609113418004,45,6,6
5,O-RAN negotiation-based ConMit,8.0,692.1425067292166,659.9308252444371,95.34609113418004,45,6,6
5,O-RAN negotiation-based ConMit,9.0,692.1425067292166,659.9308252444371,95.34609113418004,45,6,6
6,Quantum-classical hybrid,1.0,701.9604277662256,630.199950915191,89.7771335801093,43,0,0
6,Quantum-classical hybrid,1.5,701.9604277662256,701.7939308651878,99.97628115568173,49,0,0
6,O-RAN fixed-priority ConMit,1.0,701.9604277662256,582.0611296424742,82.91936505519345,38,0,4
6,O-RAN fixed-priority ConMit,1.5,701.9604277662256,642.782585702256,91.56963274236341,44,0,4
6,O-RAN negotiation-based ConMit,1.0,701.9604277662256,582.0611296424742,82.91936505519345,38,0,4
6,O-RAN negotiation-based ConMit,2.0,701.9604277662256,647.7579689639488,92.27841675138875,45,1,4
6,O-RAN negotiation-based ConMit,3.0,701.9604277662256,653.2501950102403,93.06082923919362,45,2,4
6,O-RAN negotiation-based ConMit,4.0,701.9604277662256,669.3915664138531,95.36029951773594,47,3,4
6,O-RAN negotiation-based ConMit,5.0,701.9604277662256,683.8048179315982,97.41358499475504,48,4,4
6,O-RAN negotiation-based ConMit,6.0,701.9604277662256,683.8048179315982,97.41358499475504,48,4,4
6,O-RAN negotiation-based ConMit,7.0,701.9604277662256,683.8048179315982,97.41358499475504,48,4,4
6,O-RAN negotiation-based ConMit,8.0,701.9604277662256,683.8048179315982,97.41358499475504,48,4,4
6,O-RAN negotiation-based ConMit,9.0,701.9604277662256,683.8048179315982,97.41358499475504,48,4,4
7,Quantum-classical hybrid,1.0,721.0698504278502,545.5424678980485,75.65736767032324,39,0,0
7,Quantum-classical hybrid,1.5,721.0698504278502,721.0698504278502,100.0,53,0,0
7,O-RAN fixed-priority ConMit,1.0,721.0698504278502,572.7155527136725,79.42580769031586,42,0,6
7,O-RAN fixed-priority ConMit,1.5,721.0698504278502,650.2671789429297,90.18088588187271,48,0,6
7,O-RAN negotiation-based ConMit,1.0,721.0698504278502,572.7155527136725,79.42580769031586,42,0,6
7,O-RAN negotiation-based ConMit,2.0,721.0698504278502,666.4683857184514,92.42771491874181,49,1,6
7,O-RAN negotiation-based ConMit,3.0,721.0698504278502,666.4683857184514,92.42771491874181,49,2,6
7,O-RAN negotiation-based ConMit,4.0,721.0698504278502,678.2069046678753,94.05564582480574,50,3,6
7,O-RAN negotiation-based ConMit,5.0,721.0698504278502,682.7992268779499,94.6925220175005,51,4,6
7,O-RAN negotiation-based ConMit,6.0,721.0698504278502,682.7992268779499,94.6925220175005,51,5,6
7,O-RAN negotiation-based ConMit,7.0,721.0698504278502,691.9882795090372,95.96688574601237,53,6,6
7,O-RAN negotiation-based ConMit,8.0,721.0698504278502,691.9882795090372,95.96688574601237,53,6,6
7,O-RAN negotiation-based ConMit,9.0,721.0698504278502,691.9882795090372,95.96688574601237,53,6,6
8,Quantum-classical hybrid,1.0,654.2082171061822,417.5631002804174,63.82724786421388,33,0,0
8,Quantum-classical hybrid,1.5,654.2082171061822,576.1735421778716,88.0718901279644,45,0,0
8,O-RAN fixed-priority ConMit,1.0,654.2082171061822,438.75060047882874,67.06589568984528,35,0,7
8,O-RAN fixed-priority ConMit,1.5,654.2082171061822,552.1149908134477,84.39438337471016,43,0,7
8,O-RAN negotiation-based ConMit,1.0,654.2082171061822,438.75060047882874,67.06589568984528,35,0,7
8,O-RAN negotiation-based ConMit,2.0,654.2082171061822,570.8490771603567,87.25801086471286,45,1,7
8,O-RAN negotiation-based ConMit,3.0,654.2082171061822,570.8490771603567,87.25801086471286,45,2,7
8,O-RAN negotiation-based ConMit,4.0,654.2082171061822,570.8490771603567,87.25801086471286,45,3,7
8,O-RAN negotiation-based ConMit,5.0,654.2082171061822,574.7152698729594,87.84898367910279,45,4,7
8,O-RAN negotiation-based ConMit,6.0,654.2082171061822,585.6594154457365,89.52186782922664,47,5,7
