instance_id,instance_manifest_sha256,sampling_seed,seed_transpiler,solver_mode,constraint_mode,backend_mode,backend_name,backend_version,backend_target,backend_provenance_sha256,qiskit_version,code_commit_sha,code_dirty,provenance_error,source_sha256,preparation_mode,utility_shift_mode,qual_lambda,analytic_a,amplification_rounds_used,shots_total,accepted_shots,candidate_rank,assignment,utility,feasible,sample_count,exact_probability,test_fixture
fixture-round7-shots,,20260718,,weighted-aa,unit-count,shots,qiskit-quantum_info-statevector,1.2.4,local exact simulator,,1.2.4,cfa9228f5794a8325ae9519fcb7b0635c9280012,True,,dqna_constraints.py:a97486338c3309a8151cca2eb773f8d14a63935071d3f78bb1578220f6e909b9;dqna_modes.py:7600c308abb193b178eb884972355debe667e6d7266d78ada724d77406cea930;dqna_ts.py:22d3df53aa7112d62c7fc40080c2b6fdbd38d371f525bbdbc493f357772bca39,v3,row,4.0,0.03735682550726419,4,400,388,1,0-0-1-2,41.11,True,118,,True
fixture-round7-shots,,20260718,,weighted-aa,unit-count,shots,qiskit-quantum_info-statevector,1.2.4,local exact simulator,,1.2.4,cfa9228f5794a8325ae9519fcb7b0635c9280012,True,,dqna_constraints.py:a97486338c3309a8151cca2eb773f8d14a63935071d3f78bb1578220f6e909b9;dqna_modes.py:7600c308abb193b178eb884972355debe667e6d7266d78ada724d77406cea930;dqna_ts.py:22d3df53aa7112d62c7fc40080c2b6fdbd38d371f525bbdbc493f357772bca39,v3,row,4.0,0.03735682550726419,4,400,388,2,0-2-1-2,39.14,True,82,,True
fixture-round7-shots,,20260718,,weighted-aa,unit-count,shots,qiskit-quantum_info-statevector,1.2.4,local exact simulator,,1.2.4,cfa9228f5794a8325ae9519fcb7b0635c9280012,True,,dqna_constraints.py:a97486338c3309a8151cca2eb773f8d14a63935071d3f78bb1578220f6e909b9;dqna_modes.py:7600c308abb193b178eb884972355debe667e6d7266d78ada724d77406cea930;dqna_ts.py:22d3df53aa7112d62c7fc40080c2b6fdbd38d371f525bbdbc493f357772bca39,v3,row,4.0,0.03735682550726419,4,400,388,3,0-0-2-2,37.13,True,58,,True
fixture-round7-shots,,20260718,,weighted-aa,unit-count,shots,qiskit-quantum_info-statevector,1.2.4,local exact simulator,,1.2.4,cfa9228f5794a8325ae9519fcb7b0635c9280012,True,,dqna_constraints.py:a97486338c3309a8151cca2eb773f8d14a63935071d3f78bb1578220f6e909b9;dqna_modes.py:7600c308abb193b178eb884972355debe667e6d7266d78ada724d77406cea930;dqna_ts.py:22d3df53aa7112d62c7fc40080c2b6fdbd38d371f525bbdbc493f357772bca39,v3,row,4.0,0.03735682550726419,4,400,388,4,0-1-1-2,36.56,True,39,,True
fixture-round7-shots,,20260718,,weighted-aa,unit-count,shots,qiskit-quantum_info-statevector,1.2.4,local exact simulator,,1.2.4,cfa9228f5794a8325ae9519fcb7b0635c9280012,True,,dqna_constraints.py:a97486338c3309a8151cca2eb773f8d14a63935071d3f78bb1578220f6e909b9;dqna_modes.py:7600c308abb193b178eb884972355debe667e6d7266d78ada724d77406cea930;dqna_ts.py:22d3df53aa7112d62c7fc40080c2b6fdbd38d371f525bbdbc493f357772bca39,v3,row,4.0,0.03735682550726419,4,400,388,5,0-2-0-2,33.36,True,22,,True
