round,UE1_d1,UE1_d2,UE1_d3,UE1_r1,UE1_r2,UE1_r3,UE1_s1,UE1_s2,UE1_s3,UE1_asgn,UE1_near,UE1_ok,UE2_d1,UE2_d2,UE2_d3,UE2_r1,UE2_r2,UE2_r3,UE2_s1,UE2_s2,UE2_s3,UE2_asgn,UE2_near,UE2_ok,UE3_d1,UE3_d2,UE3_d3,UE3_r1,UE3_r2,UE3_r3,UE3_s1,UE3_s2,UE3_s3,UE3_asgn,UE3_near,UE3_ok,UE4_d1,UE4_d2,UE4_d3,UE4_r1,UE4_r2,UE4_r3,UE4_s1,UE4_s2,UE4_s3,UE4_asgn,UE4_near,UE4_ok
64,59.5,200.5,232.0,15.6,3.72,0.0,47.0,10.9,0.0,O-RU1,O-RU1,OK,159.4,102.2,212.5,4.86,6.55,0.0,14.5,19.7,0.0,O-RU2,O-RU2,OK,135.4,278.1,145.2,11.28,7.42,0.0,34.0,22.3,0.0,O-RU1,O-RU1,OK,245.9,64.7,196.8,0.0,15.8,3.67,0.0,47.6,10.7,O-RU2,O-RU2,OK
65,59.5,200.5,232.0,14.91,3.92,0.0,44.9,11.5,0.0,O-RU1,O-RU1,OK,159.4,102.2,212.5,5.1,6.25,0.0,15.2,18.8,0.0,O-RU2,O-RU2,OK,135.4,278.1,145.2,4.95,2.1,5.56,14.7,5.2,16.7,O-RU3,O-RU1,MISS,245.9,64.7,196.8,0.0,15.62,3.7,0.0,47.0,10.8,O-RU2,O-RU2,OK
66,59.5,200.5,232.0,7.78,4.11,0.0,23.4,12.1,0.0,O-RU1,O-RU1,OK,159.4,102.2,212.5,5.35,5.96,0.0,16.0,17.9,0.0,O-RU2,O-RU2,OK,135.4,278.1,145.2,4.72,2.09,5.81,14.0,5.1,17.4,O-RU3,O-RU1,MISS,245.9,64.7,196.8,0.0,8.73,3.73,0.0,26.3,10.9,O-RU2,O-RU2,OK
67,88.2,175.2,249.1,6.91,4.43,0.0,20.8,13.1,0.0,O-RU1,O-RU1,OK,135.4,124.4,226.3,5.78,5.49,0.0,17.3,16.4,0.0,O-RU1,O-RU2,MISS,159.1,280.7,123.4,4.36,2.06,6.25,12.9,5.0,18.8,O-RU3,O-RU3,OK,213.0,71.9,192.4,0.0,8.18,3.74,0.0,24.6,10.9,O-RU2,O-RU2,OK
68,88.2,175.2,249.1,6.45,4.62,0.0,19.4,13.7,0.0,O-RU1,O-RU1,OK,135.4,124.4,226.3,6.05,5.23,0.0,18.1,15.6,0.0,O-RU1,O-RU2,MISS,159.1,280.7,123.4,4.16,2.04,12.83,12.3,4.9,38.6,O-RU3,O-RU3,OK,213.0,71.9,192.4,3.79,14.28,3.72,11.1,43.0,10.9,O-RU2,O-RU2,OK
69,120.7,154.0,269.9,6.01,0.0,7.6,18.0,0.0,22.9,O-RU3,O-RU1,MISS,113.4,148.7,242.7,6.32,11.04,0.0,19.0,33.2,0.0,O-RU2,O-RU1,MISS,173.5,278.4,106.8,10.14,2.11,12.94,30.5,5.2,39.0,O-RU3,O-RU3,OK,180.1,91.5,193.6,4.04,13.84,3.7,11.9,41.7,10.8,O-RU2,O-RU2,OK
70,120.7,154.0,269.9,5.36,0.0,7.36,16.0,0.0,22.1,O-RU3,O-RU1,MISS,113.4,148.7,242.7,13.12,4.58,0.0,39.5,13.6,0.0,O-RU1,O-RU1,OK,173.5,278.4,106.8,4.58,2.38,6.58,13.6,6.2,19.8,O-RU3,O-RU3,OK,180.1,91.5,193.6,4.5,6.77,3.64,13.3,20.3,10.6,O-RU2,O-RU2,OK
71,120.7,154.0,269.9,5.0,5.22,0.0,14.9,15.6,0.0,O-RU2,O-RU1,MISS,113.4,148.7,242.7,13.43,4.35,0.0,40.4,12.9,0.0,O-RU1,O-RU1,OK,173.5,278.4,106.8,4.79,2.55,6.48,14.3,6.9,19.5,O-RU3,O-RU3,OK,180.1,91.5,193.6,4.8,6.4,3.58,14.3,19.2,10.4,O-RU2,O-RU2,OK
72,154.7,139.0,293.6,10.68,5.34,0.0,32.2,16.0,0.0,O-RU1,O-RU2,MISS,94.7,174.1,261.0,7.27,4.18,0.0,21.9,12.3,0.0,O-RU1,O-RU1,OK,150.1,242.8,112.0,4.99,2.74,6.34,14.9,7.5,19.0,O-RU3,O-RU3,OK,147.5,117.3,200.4,4.97,6.19,3.57,14.8,18.6,10.4,O-RU2,O-RU2,OK
73,154.7,139.0,293.6,10.55,5.38,0.0,31.7,16.1,0.0,O-RU1,O-RU2,MISS,94.7,174.1,261.0,7.2,4.24,0.0,21.6,12.5,0.0,O-RU2,O-RU1,MISS,150.1,242.8,112.0,5.3,3.07,6.01,15.8,8.7,18.0,O-RU3,O-RU3,OK,147.5,117.3,200.4,10.54,6.43,3.89,31.7,19.3,11.4,O-RU1,O-RU2,MISS
74,154.7,139.0,293.6,10.82,5.23,0.0,32.6,15.6,0.0,O-RU1,O-RU2,MISS,94.7,174.1,261.0,7.04,4.4,0.0,21.1,13.0,0.0,O-RU1,O-RU1,OK,150.1,242.8,112.0,5.46,3.29,5.78,16.3,9.4,17.3,O-RU3,O-RU3,OK,147.5,117.3,200.4,4.31,6.53,4.09,12.7,19.6,12.0,O-RU2,O-RU2,OK
75,150.5,143.4,293.8,5.16,5.0,0.0,15.4,14.9,0.0,O-RU2,O-RU2,OK,99.6,165.6,252.9,6.86,4.55,0.0,20.6,13.5,0.0,O-RU1,O-RU1,OK,133.5,208.0,128.6,5.59,3.52,5.53,16.7,10.2,16.6,O-RU1,O-RU3,MISS,173.3,108.5,176.0,0.0,6.58,4.29,0.0,19.8,12.7,O-RU2,O-RU2,OK
76,150.5,143.4,293.8,5.85,4.6,0.0,17.5,13.7,0.0,O-RU1,O-RU2,MISS,99.6,165.6,252.9,6.56,4.82,0.0,19.7,14.3,0.0,O-RU1,O-RU1,OK,133.5,208.0,128.6,5.74,9.79,0.0,17.2,29.5,0.0,O-RU2,O-RU3,MISS,173.3,108.5,176.0,0.0,12.86,4.61,0.0,38.7,13.7,O-RU2,O-RU2,OK
77,150.5,143.4,293.8,6.32,10.32,0.0,19.0,31.1,0.0,O-RU2,O-RU2,OK,112.4,148.4,236.9,6.37,11.04,0.0,19.1,33.2,0.0,O-RU2,O-RU1,MISS,126.5,174.6,153.0,11.97,4.19,4.84,36.0,12.4,14.4,O-RU1,O-RU1,OK,202.8,110.1,154.2,0.0,6.48,4.8,0.0,19.4,14.3,O-RU3,O-RU2,MISS
78,113.4,168.5,280.0,7.22,3.98,0.0,21.7,11.7,0.0,O-RU1,O-RU1,OK,112.4,148.4,236.9,6.06,5.26,0.0,18.2,15.7,0.0,O-RU1,O-RU1,OK,126.5,174.6,153.0,5.78,4.46,4.59,17.3,13.2,13.6,O-RU3,O-RU1,MISS,202.8,110.1,154.2,0.0,6.26,5.09,0.0,18.8,15.2,O-RU2,O-RU2,OK
79,113.4,168.5,280.0,7.86,3.76,0.0,23.6,11.0,0.0,O-RU1,O-RU1,OK,112.4,148.4,236.9,12.07,5.43,0.0,36.3,16.3,0.0,O-RU1,O-RU1,OK,126.5,174.6,153.0,5.71,4.5,4.6,17.1,13.3,13.7,O-RU3,O-RU1,MISS,202.8,110.1,154.2,0.0,6.08,5.25,0.0,18.2,15.7,O-RU2,O-RU2,OK
80,113.4,168.5,280.0,15.16,3.54,0.0,45.6,10.3,0.0,O-RU1,O-RU1,OK,112.4,148.4,236.9,5.68,11.77,0.0,17.0,35.4,0.0,O-RU2,O-RU1,MISS,125.8,163.7,163.4,5.32,4.76,10.73,15.9,14.2,32.3,O-RU3,O-RU1,MISS,233.9,122.4,138.2,0.0,5.88,5.38,0.0,17.6,16.1,O-RU2,O-RU2,OK
81,76.3,197.4,270.6,9.42,3.33,0.0,28.3,9.6,0.0,O-RU1,O-RU1,OK,127.4,132.5,221.9,5.49,5.78,0.0,16.4,17.3,0.0,O-RU2,O-RU1,MISS,135.2,158.2,157.9,4.95,5.03,0.0,14.8,15.0,0.0,O-RU1,O-RU1,OK,233.9,122.4,138.2,0.0,5.65,5.5,0.0,16.9,16.5,O-RU2,O-RU2,OK
82,76.3,197.4,270.6,18.17,3.0,0.0,54.7,8.5,0.0,O-RU1,O-RU1,OK,127.4,132.5,221.9,5.19,6.06,0.0,15.5,18.2,0.0,O-RU2,O-RU1,MISS,135.2,158.2,157.9,0.0,5.48,4.91,0.0,16.4,14.6,O-RU2,O-RU1,MISS,233.9,122.4,138.2,7.76,0.0,5.63,23.3,0.0,16.9,O-RU1,O-RU2,MISS
83,76.3,197.4,270.6,19.45,2.85,0.0,58.6,7.9,0.0,O-RU1,O-RU1,OK,127.4,132.5,221.9,5.01,6.23,0.0,15.0,18.7,0.0,O-RU2,O-RU1,MISS,135.2,158.2,157.9,0.0,5.75,4.94,0.0,17.2,14.7,O-RU2,O-RU1,MISS,266.1,142.6,130.0,0.0,5.02,11.84,0.0,15.0,35.6,O-RU3,O-RU3,OK
84,39.3,228.7,266.2,19.48,8.47,0.0,58.6,25.5,0.0,O-RU1,O-RU1,OK,144.1,118.2,207.9,4.84,6.39,0.0,14.4,19.2,0.0,O-RU2,O-RU2,OK,170.8,131.8,150.2,0.0,6.01,4.94,0.0,18.0,14.7,O-RU2,O-RU2,OK,266.1,142.6,130.0,0.0,4.78,5.67,0.0,14.2,17.0,O-RU3,O-RU3,OK
85,39.3,228.7,266.2,12.09,3.03,0.0,36.4,8.5,0.0,O-RU1,O-RU1,OK,144.1,118.2,207.9,10.55,6.65,0.0,31.8,20.0,0.0,O-RU1,O-RU2,MISS,170.8,131.8,150.2,0.0,6.41,10.93,0.0,19.3,32.9,O-RU3,O-RU2,MISS,266.1,142.6,130.0,0.0,4.86,5.65,0.0,14.5,16.9,O-RU3,O-RU3,OK
86,36.4,224.2,250.2,11.6,3.11,0.0,34.9,8.8,0.0,O-RU1,O-RU1,OK,161.7,106.3,195.2,4.4,6.8,9.57,13.0,20.4,28.8,O-RU3,O-RU2,MISS,206.9,111.5,151.4,0.0,12.93,4.82,0.0,38.9,14.4,O-RU2,O-RU2,OK,279.9,152.3,129.9,0.0,5.04,5.61,0.0,15.0,16.8,O-RU3,O-RU3,OK
87,36.4,224.2,250.2,17.91,3.2,0.0,53.9,9.1,0.0,O-RU1,O-RU1,OK,161.7,106.3,195.2,4.24,6.93,0.0,12.5,20.8,0.0,O-RU2,O-RU2,OK,206.9,111.5,151.4,0.0,6.78,4.73,0.0,20.4,14.1,O-RU3,O-RU2,MISS,279.9,152.3,129.9,0.0,11.33,5.56,0.0,34.1,16.6,O-RU2,O-RU3,MISS
88,36.4,224.2,250.2,16.96,3.31,0.0,51.1,9.5,0.0,O-RU1,O-RU1,OK,161.7,106.3,195.2,4.04,13.47,0.0,11.9,40.5,0.0,O-RU2,O-RU2,OK,206.9,111.5,151.4,0.0,6.91,4.58,0.0,20.8,13.6,O-RU2,O-RU2,OK,279.9,152.3,129.9,0.0,5.48,5.47,0.0,16.4,16.4,O-RU3,O-RU3,OK
89,53.2,210.5,222.1,9.55,3.39,0.0,28.8,9.8,0.0,O-RU1,O-RU1,OK,180.2,97.5,184.1,3.89,7.18,4.02,11.4,21.6,11.8,O-RU2,O-RU2,OK,243.2,101.0,161.2,0.0,6.95,4.45,0.0,20.9,13.2,O-RU2,O-RU2,OK,259.3,134.3,134.6,7.97,0.0,11.52,24.0,0.0,34.7,O-RU3,O-RU2,MISS
90,53.2,210.5,222.1,8.98,3.46,0.0,27.0,10.0,0.0,O-RU1,O-RU1,OK,180.2,97.5,184.1,3.75,7.26,4.09,11.0,21.8,12.1,O-RU2,O-RU2,OK,243.2,101.0,161.2,0.0,6.92,4.31,0.0,20.8,12.7,O-RU2,O-RU2,OK,259.3,134.3,134.6,0.0,5.86,5.3,0.0,17.6,15.8,O-RU3,O-RU2,MISS
91,53.2,210.5,222.1,8.44,0.0,3.62,25.4,0.0,10.5,O-RU1,O-RU1,OK,180.2,97.5,184.1,3.61,7.32,4.16,10.5,22.0,12.3,O-RU2,O-RU2,OK,243.2,101.0,161.2,0.0,6.84,4.15,0.0,20.5,12.2,O-RU3,O-RU2,MISS,259.3,134.3,134.6,0.0,12.28,5.2,0.0,37.0,15.5,O-RU2,O-RU2,OK
92,77.1,200.0,194.1,7.95,0.0,3.83,23.9,0.0,11.2,O-RU1,O-RU1,OK,199.2,92.9,174.8,3.48,13.77,4.23,10.1,41.5,12.5,O-RU2,O-RU2,OK,277.7,102.9,177.1,7.44,13.16,0.0,22.4,39.6,0.0,O-RU2,O-RU2,OK,239.3,118.3,143.2,0.0,6.24,5.09,0.0,18.7,15.2,O-RU3,O-RU2,MISS
93,77.1,200.0,194.1,7.49,0.0,4.04,22.5,0.0,11.9,O-RU1,O-RU1,OK,199.2,92.9,174.8,3.35,13.79,4.29,9.6,41.5,12.7,O-RU2,O-RU2,OK,277.7,102.9,177.1,0.0,6.77,4.28,0.0,20.3,12.7,O-RU3,O-RU2,MISS,239.3,118.3,143.2,0.0,12.71,4.97,0.0,38.2,14.8,O-RU2,O-RU2,OK
94,77.1,200.0,194.1,7.06,0.0,4.27,21.2,0.0,12.6,O-RU1,O-RU1,OK,199.2,92.9,174.8,3.22,7.35,4.35,9.2,22.1,12.9,O-RU2,O-RU2,OK,277.7,102.9,177.1,0.0,6.69,4.45,0.0,20.1,13.2,O-RU2,O-RU2,OK,239.3,118.3,143.2,0.0,6.59,10.89,0.0,19.8,32.8,O-RU3,O-RU2,MISS
95,77.1,200.0,194.1,6.66,0.0,4.51,20.0,0.0,13.4,O-RU1,O-RU1,OK,198.2,97.3,170.2,3.1,13.73,4.4,8.8,41.3,13.0,O-RU2,O-RU2,OK,259.6,106.8,161.8,0.0,6.59,4.62,0.0,19.8,13.7,O-RU3,O-RU2,MISS,220.1,105.3,155.0,0.0,6.75,4.73,0.0,20.3,14.1,O-RU2,O-RU2,OK
96,103.4,193.0,166.2,0.0,0.0,0.0,0.0,0.0,0.0,O-RU1,O-RU1,OK,218.6,93.0,167.8,0.0,0.0,0.0,0.0,0.0,0.0,O-RU1,O-RU2,MISS,259.6,106.8,161.8,0.0,0.0,0.0,0.0,0.0,0.0,O-RU2,O-RU2,OK,220.1,105.3,155.0,0.0,13.31,4.56,0.0,40.1,13.5,O-RU2,O-RU2,OK
97,103.4,193.0,166.2,5.83,0.0,5.13,17.5,0.0,15.3,O-RU1,O-RU1,OK,218.6,93.0,167.8,8.41,7.14,0.0,25.3,21.5,0.0,O-RU1,O-RU2,MISS,259.6,106.8,161.8,0.0,12.63,4.88,0.0,38.0,14.6,O-RU2,O-RU2,OK,220.1,105.3,155.0,0.0,0.0,0.0,0.0,0.0,0.0,O-RU2,O-RU2,OK
98,130.6,190.2,138.5,5.52,0.0,5.42,16.5,0.0,16.2,O-RU1,O-RU1,OK,238.3,97.8,163.2,2.72,13.41,4.53,7.5,40.4,13.4,O-RU2,O-RU2,OK,250.7,117.7,147.2,0.0,6.04,5.1,0.0,18.1,15.2,O-RU2,O-RU2,OK,201.8,96.5,169.4,0.0,7.18,10.23,0.0,21.6,30.8,O-RU3,O-RU2,MISS
99,130.6,190.2,138.5,5.22,0.0,5.73,15.6,0.0,17.2,O-RU3,O-RU1,MISS,238.3,97.8,163.2,2.62,6.92,10.54,7.1,20.8,31.7,O-RU3,O-RU2,MISS,250.7,117.7,147.2,0.0,5.74,5.32,0.0,17.2,15.9,O-RU2,O-RU2,OK,201.8,96.5,169.4,0.0,7.25,4.16,0.0,21.8,12.3,O-RU2,O-RU2,OK
100,130.6,190.2,138.5,10.99,0.0,6.07,33.1,0.0,18.2,O-RU1,O-RU1,OK,238.3,97.8,163.2,2.51,6.78,4.57,6.7,20.4,13.6,O-RU2,O-RU2,OK,250.7,117.7,147.2,0.0,5.46,5.55,0.0,16.3,16.6,O-RU3,O-RU2,MISS,201.8,96.5,169.4,0.0,7.3,4.03,0.0,22.0,11.9,O-RU2,O-RU2,OK
