round,UE1_d1,UE1_d2,UE1_d3,UE1_r1,UE1_r2,UE1_r3,UE1_s1,UE1_s2,UE1_s3,UE1_asgn,UE1_near,UE1_ok,UE2_d1,UE2_d2,UE2_d3,UE2_r1,UE2_r2,UE2_r3,UE2_s1,UE2_s2,UE2_s3,UE2_asgn,UE2_near,UE2_ok,UE3_d1,UE3_d2,UE3_d3,UE3_r1,UE3_r2,UE3_r3,UE3_s1,UE3_s2,UE3_s3,UE3_asgn,UE3_near,UE3_ok,UE4_d1,UE4_d2,UE4_d3,UE4_r1,UE4_r2,UE4_r3,UE4_s1,UE4_s2,UE4_s3,UE4_asgn,UE4_near,UE4_ok
18,273.4,73.4,202.3,2.36,8.5,3.68,6.2,25.6,10.7,O-RU2,O-RU2,OK,203.6,60.0,254.3,9.87,14.54,0.0,29.7,43.8,0.0,O-RU2,O-RU2,OK,109.1,206.7,153.9,5.88,2.99,5.41,17.6,8.4,16.2,O-RU1,O-RU1,OK,218.8,210.2,55.1,3.52,0.0,9.3,10.2,0.0,28.0,O-RU3,O-RU3,OK
19,273.4,73.4,202.3,2.45,8.43,3.77,6.5,25.4,11.0,O-RU2,O-RU2,OK,203.6,60.0,254.3,4.24,7.49,0.0,12.5,22.5,0.0,O-RU2,O-RU2,OK,109.1,206.7,153.9,5.59,2.83,11.84,16.7,7.9,35.6,O-RU3,O-RU1,MISS,218.8,210.2,55.1,3.69,0.0,8.91,10.8,0.0,26.8,O-RU3,O-RU3,OK
20,255.9,74.8,190.7,2.55,14.9,3.86,6.9,44.8,11.3,O-RU2,O-RU2,OK,172.6,90.1,247.1,4.51,7.0,0.0,13.4,21.0,0.0,O-RU2,O-RU2,OK,131.3,234.6,129.3,5.3,2.67,5.91,15.8,7.3,17.7,O-RU3,O-RU3,OK,193.9,219.8,68.1,3.87,0.0,15.07,11.3,0.0,45.4,O-RU3,O-RU3,OK
21,255.9,74.8,190.7,2.65,8.22,3.95,7.2,24.7,11.6,O-RU2,O-RU2,OK,172.6,90.1,247.1,4.8,6.56,0.0,14.3,19.7,0.0,O-RU2,O-RU2,OK,131.3,234.6,129.3,11.08,2.51,6.13,33.3,6.7,18.4,O-RU1,O-RU3,MISS,193.9,219.8,68.1,9.94,0.0,8.07,29.9,0.0,24.3,O-RU1,O-RU3,MISS
22,255.9,74.8,190.7,2.75,8.07,4.04,7.6,24.3,11.9,O-RU2,O-RU2,OK,172.6,90.1,247.1,5.1,6.15,0.0,15.2,18.4,0.0,O-RU2,O-RU2,OK,131.3,234.6,129.3,4.73,2.36,6.33,14.1,6.2,19.0,O-RU3,O-RU3,OK,193.9,219.8,68.1,4.24,0.0,7.66,12.5,0.0,23.0,O-RU3,O-RU3,OK
23,236.6,81.2,179.2,2.89,14.34,4.15,8.1,43.2,12.3,O-RU2,O-RU2,OK,141.8,120.7,243.7,5.54,5.65,0.0,16.6,16.9,0.0,O-RU2,O-RU2,OK,159.4,264.8,112.1,4.36,2.17,6.53,12.9,5.5,19.6,O-RU3,O-RU3,OK,170.6,232.7,89.4,4.49,0.0,13.52,13.3,0.0,40.7,O-RU3,O-RU3,OK
24,236.6,81.2,179.2,3.01,14.12,4.24,8.5,42.5,12.5,O-RU2,O-RU2,OK,141.8,120.7,243.7,5.9,5.31,0.0,17.7,15.9,0.0,O-RU1,O-RU2,MISS,159.4,264.8,112.1,4.1,2.04,6.62,12.1,4.9,19.9,O-RU3,O-RU3,OK,170.6,232.7,89.4,4.69,0.0,6.76,13.9,0.0,20.3,O-RU3,O-RU3,OK
25,236.6,81.2,179.2,3.12,7.47,4.32,8.9,22.5,12.8,O-RU2,O-RU2,OK,141.8,120.7,243.7,6.29,4.99,0.0,18.9,14.9,0.0,O-RU1,O-RU2,MISS,159.4,264.8,112.1,4.0,1.99,6.65,11.8,4.7,20.0,O-RU3,O-RU3,OK,170.6,232.7,89.4,4.88,0.0,12.68,14.5,0.0,38.2,O-RU3,O-RU3,OK
26,217.6,91.7,169.3,3.32,7.13,4.44,9.5,21.4,13.2,O-RU2,O-RU2,OK,111.1,151.4,244.2,7.02,4.5,0.0,21.1,13.4,0.0,O-RU1,O-RU1,OK,181.6,287.5,106.4,4.3,2.05,6.33,12.7,5.0,19.0,O-RU3,O-RU3,OK,149.4,248.6,114.4,5.21,0.0,5.84,15.6,0.0,17.5,O-RU3,O-RU3,OK
27,217.6,91.7,169.3,3.45,6.92,4.51,10.0,20.8,13.4,O-RU2,O-RU2,OK,111.1,151.4,244.2,7.5,4.24,0.0,22.6,12.5,0.0,O-RU1,O-RU1,OK,181.6,287.5,106.4,4.58,2.11,6.05,13.6,5.2,18.1,O-RU3,O-RU3,OK,149.4,248.6,114.4,5.39,0.0,5.53,16.1,0.0,16.5,O-RU3,O-RU3,OK
28,217.6,91.7,169.3,3.58,6.71,4.58,10.4,20.2,13.6,O-RU2,O-RU2,OK,80.6,182.3,248.7,8.05,3.99,0.0,24.2,11.7,0.0,O-RU1,O-RU1,OK,151.2,274.9,127.0,4.89,2.16,5.76,14.6,5.4,17.3,O-RU3,O-RU3,OK,131.6,266.7,141.2,5.58,0.0,5.23,16.7,0.0,15.6,O-RU1,O-RU1,OK
29,198.7,105.1,161.4,0.0,0.0,0.0,0.0,0.0,0.0,O-RU1,O-RU2,MISS,80.6,182.3,248.7,0.0,0.0,0.0,0.0,0.0,0.0,O-RU2,O-RU1,MISS,151.2,274.9,127.0,0.0,0.0,0.0,0.0,0.0,0.0,O-RU2,O-RU3,MISS,131.6,266.7,141.2,5.75,0.0,4.95,17.2,0.0,14.8,O-RU1,O-RU1,OK
