seed,centralized_utility,hybrid_L1,hybrid_coordination,hungarian_local_mean_percent_of_dp,total_triggered_local_reexecutions
0,652.4961800495726,72.3138060862486,97.56739293860646,99.26562135534115,6
1,716.6843729627897,70.10186349827313,99.96946518840026,99.67247237989167,7
2,657.3899439137127,83.96417690930511,100.00000000000001,99.58823333396387,5
3,695.9050340974256,72.1837731719139,99.59878886713508,97.46861381504915,6
4,734.7220913394568,76.12334789568868,99.82826084149595,98.95107130055872,5
5,692.1425067292166,58.856582848985454,98.0945004527696,99.8565964550514,6
6,701.9604277662256,89.7771335801093,99.97628115568173,99.45395338946608,4
7,721.0698504278502,75.65736767032324,100.0,98.71114168379259,6
8,654.2082171061822,63.82724786421388,94.49357316738103,96.97029213836274,7
9,708.9277390553633,64.09754389597312,97.87249606950803,99.53290653860452,7
10,733.8658821829777,70.05002573174049,100.0,99.26550770984655,5
11,738.342530906647,69.56615899700839,94.88831260398699,98.94623126947268,6
12,696.2706033546544,82.72422955030801,99.43383607366329,99.70212219225417,5
13,689.8765769954657,76.11266379437438,99.56934033002918,98.24341306019406,5
14,709.0138905576255,65.15927603003843,94.58427672321304,99.16188996511539,7
15,717.784516389327,71.13403004311162,95.11018537734932,99.11862581833267,5
16,696.517994083357,79.61130507654272,99.27106058905125,97.63784962520984,6
17,680.2750405904015,65.2525218120829,99.11280800284523,99.18661017915123,6
18,683.4501833695285,82.37561125277962,98.87154469178382,98.66949411355205,6
19,709.9742956899012,77.1424873584949,97.82274139375312,99.04993118097042,5
20,736.3778809854147,68.23329702730288,97.77461123241032,99.25158500853391,7
21,719.8628234312438,68.82927455017145,97.55257494736156,99.4082154734577,7
22,734.1387602805175,65.71025048809051,99.56634918824783,99.38275400646437,5
23,715.1431649239848,79.38426795771692,100.0,99.37647123669312,5
24,674.9620433985319,76.4954401384714,96.11879847273869,99.15061445132815,5
25,709.4139014057274,73.49538850815479,99.90946549510639,96.7697261792007,7
26,716.2830711973374,69.39798663936652,100.0,96.64884336630212,4
27,714.2844579510461,56.23605364545187,99.37084064207971,98.99644015675952,8
28,709.953272072918,71.8802959074715,99.90794477148276,99.1893269218033,5
29,721.766609515548,79.96288415217518,98.34683370006674,97.69117818493966,5
30,722.1656791134449,68.28968923920765,98.47246025402455,99.22526418332315,8
31,701.0552141960336,71.26752972272078,99.74866760114215,99.80065214232513,5
32,711.7191469501836,84.23884817987464,100.00000000000001,98.77240460627291,5
33,750.4876997976988,78.33506359075452,98.50773412868818,96.52428195463159,7
34,743.1453748290271,74.4291184340506,99.85858354396119,99.16845705000907,4
35,701.3186782080643,68.54823399411566,98.54945114432898,96.91689882893547,5
36,720.7852269260114,72.36087565907727,98.80275890323698,99.66862652201937,6
37,688.834637047996,69.73743399576495,96.02020499147024,97.49109280555783,6
38,699.320107071458,66.53806169531025,99.46859359940517,98.92001648689448,7
39,702.1593814927921,86.32313029109514,97.62238081770096,98.87778056827406,5
40,697.2604677652592,79.14296226823465,98.21411514410332,100.0,5
41,718.3754678321326,63.54982060802286,99.87407690758003,98.65592138686641,7
42,725.841320296443,76.01554315956996,97.05259813805216,98.13723633647461,5
43,711.0253641526888,63.74352394630562,97.15189298111835,98.09703689929555,6
44,676.347625912264,76.67157143423502,94.54706891550829,98.00234422061956,5
45,711.02199934274,66.37585051783209,96.94262505312302,99.25898608155022,5
46,723.011708953235,79.81026824812436,98.92536320032835,97.80385259487907,4
47,727.2520937411718,61.50788217030264,99.3547003529848,97.55758934636863,7
48,698.5983633178009,71.19429246905554,98.16353048285545,98.68309145527783,5
49,692.4405043276828,75.59037335327353,99.86606730174093,98.20957405857834,7
50,690.828802549392,58.361335229971345,94.21434969116933,99.01679711470078,6
51,704.790546563906,66.80886850906595,100.0,97.27207556066992,9
52,685.4907803128941,73.83875294895843,99.05814386327374,98.89719880498295,5
53,690.0980568306345,65.44967311042916,97.48572512393496,98.76094946641965,7
54,724.3554541419606,69.34622874860747,97.07203496754933,98.75008507946676,7
55,727.472715337435,83.45832673599601,99.32676887799857,99.34652495381707,6
56,734.330112085668,67.22652455742816,97.08854396053319,98.71248038921453,5
57,719.7019596420471,73.9098805040708,99.44215731329491,98.10726555841508,6
58,680.1045553583778,52.777601937168136,94.00291172821105,99.52542878570493,8
59,723.360767998009,81.0231543466334,98.41368404678612,98.49578597140817,4
60,707.5213634825832,75.56302182769825,99.54031442142079,96.5122900590693,5
61,650.6864579127501,66.2578202243957,96.08562783509063,97.16766425247536,6
62,727.819602708801,74.19457490128116,99.68340975062547,99.62847637693035,5
63,695.3232334401121,81.94496664420888,97.32424205450279,98.92197159207606,6
64,700.1440161162245,84.21620171001402,99.84968896890794,97.09011487719198,5
65,713.0920242315462,83.0817053088319,98.41691514196869,97.824916306344,5
66,678.4970453379913,63.420158731886936,100.0,98.14963612278852,7
67,731.0239580990097,80.94484814465113,97.14244708470484,98.17785321714481,5
68,701.2441242405396,74.11593138949297,96.46761046339587,95.74010634605375,7
69,705.357726791743,69.2946541263812,98.64542644297937,98.34856879160427,7
70,706.7787879190773,67.94646836519833,98.18074230560666,99.29512571459182,6
71,692.7960734619518,63.81340964908516,94.951580330784,98.8636256948502,6
72,657.4274094848132,60.850873908998174,94.45429015905867,97.72932462568117,8
73,681.2820810851691,68.86213812958297,97.60290806881531,98.08619669819598,7
